Variables=x,y,T
Zone, I=31, J=31
0 0 1
0.0333333 0 1
0.0666667 0 1
0.1 0 1
0.133333 0 1
0.166667 0 1
0.2 0 1
0.233333 0 1
0.266667 0 1
0.3 0 1
0.333333 0 1
0.366667 0 1
0.4 0 1
0.433333 0 1
0.466667 0 1
0.5 0 1
0.533333 0 1
0.566667 0 1
0.6 0 1
0.633333 0 1
0.666667 0 1
0.7 0 1
0.733333 0 1
0.766667 0 1
0.8 0 1
0.833333 0 1
0.866667 0 1
0.9 0 1
0.933333 0 1
0.966667 0 1
1 0 1
0.0333333 0.133333 1
0.0655556 0.133333 1
0.0977778 0.133333 1
0.13 0.133333 1
0.162222 0.133333 1
0.194444 0.133333 1
0.226667 0.133333 1
0.258889 0.133333 1
0.291111 0.133333 1
0.323333 0.133333 1
0.355556 0.133333 1
0.387778 0.133333 1
0.42 0.133333 1
0.452222 0.133333 1
0.484444 0.133333 1
0.516667 0.133333 1
0.548889 0.133333 1
0.581111 0.133333 1
0.613333 0.133333 1
0.645556 0.133333 1
0.677778 0.133333 1
0.71 0.133333 1
0.742222 0.133333 1
0.774444 0.133333 1
0.806667 0.133333 1
0.838889 0.133333 1
0.871111 0.133333 1
0.903333 0.133333 1
0.935556 0.133333 1
0.967778 0.133333 1
1 0.133333 1
0.0666667 0.266667 1
0.0977778 0.266667 1
0.128889 0.266667 1
0.16 0.266667 1
0.191111 0.266667 1
0.222222 0.266667 1
0.253333 0.266667 1
0.284444 0.266667 1
0.315556 0.266667 1
0.346667 0.266667 1
0.377778 0.266667 1
0.408889 0.266667 1
0.44 0.266667 1
0.471111 0.266667 1
0.502222 0.266667 1
0.533333 0.266667 1
0.564444 0.266667 1
0.595556 0.266667 1
0.626667 0.266667 1
0.657778 0.266667 1
0.688889 0.266667 1
0.72 0.266667 1
0.751111 0.266667 1
0.782222 0.266667 1
0.813333 0.266667 1
0.844444 0.266667 1
0.875556 0.266667 1
0.906667 0.266667 1
0.937778 0.266667 1
0.968889 0.266667 1
1 0.266667 1
0.1 0.4 1
0.13 0.4 1
0.16 0.4 1
0.19 0.4 1
0.22 0.4 1
0.25 0.4 1
0.28 0.4 1
0.31 0.4 1
0.34 0.4 1
0.37 0.4 1
0.4 0.4 1
0.43 0.4 1
0.46 0.4 1
0.49 0.4 1
0.52 0.4 1
0.55 0.4 1
0.58 0.4 1
0.61 0.4 1
0.64 0.4 1
0.67 0.4 1
0.7 0.4 1
0.73 0.4 1
0.76 0.4 1
0.79 0.4 1
0.82 0.4 1
0.85 0.4 1
0.88 0.4 1
0.91 0.4 1
0.94 0.4 1
0.97 0.4 1
1 0.4 1
0.133333 0.533333 1
0.162222 0.533333 1
0.191111 0.533333 1
0.22 0.533333 1
0.248889 0.533333 1
0.277778 0.533333 1
0.306667 0.533333 1
0.335556 0.533333 1
0.364444 0.533333 1
0.393333 0.533333 1
0.422222 0.533333 1
0.451111 0.533333 1
0.48 0.533333 1
0.508889 0.533333 1
0.537778 0.533333 1
0.566667 0.533333 1
0.595556 0.533333 1
0.624444 0.533333 1
0.653333 0.533333 1
0.682222 0.533333 1
0.711111 0.533333 1
0.74 0.533333 1
0.768889 0.533333 1
0.797778 0.533333 1
0.826667 0.533333 1
0.855556 0.533333 1
0.884444 0.533333 1
0.913333 0.533333 1
0.942222 0.533333 1
0.971111 0.533333 1
1 0.533333 1
0.166667 0.666667 1
0.194444 0.666667 1
0.222222 0.666667 1
0.25 0.666667 1
0.277778 0.666667 1
0.305556 0.666667 1
0.333333 0.666667 1
0.361111 0.666667 1
0.388889 0.666667 1
0.416667 0.666667 1
0.444444 0.666667 1
0.472222 0.666667 1
0.5 0.666667 1
0.527778 0.666667 1
0.555556 0.666667 1
0.583333 0.666667 1
0.611111 0.666667 1
0.638889 0.666667 1
0.666667 0.666667 1
0.694444 0.666667 1
0.722222 0.666667 1
0.75 0.666667 1
0.777778 0.666667 1
0.805556 0.666667 1
0.833333 0.666667 1
0.861111 0.666667 1
0.888889 0.666667 1
0.916667 0.666667 1
0.944444 0.666667 1
0.972222 0.666667 1
1 0.666667 1
0.2 0.8 1
0.226667 0.8 1
0.253333 0.8 1
0.28 0.8 1
0.306667 0.8 1
0.333333 0.8 1
0.36 0.8 1
0.386667 0.8 1
0.413333 0.8 1
0.44 0.8 1
0.466667 0.8 1
0.493333 0.8 1
0.52 0.8 1
0.546667 0.8 1
0.573333 0.8 1
0.6 0.8 1
0.626667 0.8 1
0.653333 0.8 1
0.68 0.8 1
0.706667 0.8 1
0.733333 0.8 1
0.76 0.8 1
0.786667 0.8 1
0.813333 0.8 1
0.84 0.8 1
0.866667 0.8 1
0.893333 0.8 1
0.92 0.8 1
0.946667 0.8 1
0.973333 0.8 1
1 0.8 1
0.233333 0.933333 1
0.258889 0.933333 1
0.284444 0.933333 1
0.31 0.933333 1
0.335556 0.933333 1
0.361111 0.933333 1
0.386667 0.933333 1
0.412222 0.933333 1
0.437778 0.933333 1
0.463333 0.933333 1
0.488889 0.933333 1
0.514444 0.933333 1
0.54 0.933333 1
0.565556 0.933333 1
0.591111 0.933333 1
0.616667 0.933333 1
0.642222 0.933333 1
0.667778 0.933333 1
0.693333 0.933333 1
0.718889 0.933333 1
0.744444 0.933333 1
0.77 0.933333 1
0.795556 0.933333 1
0.821111 0.933333 1
0.846667 0.933333 1
0.872222 0.933333 1
0.897778 0.933333 1
0.923333 0.933333 1
0.948889 0.933333 1
0.974444 0.933333 1
1 0.933333 1
0.266667 1.06667 1
0.291111 1.06667 1
0.315556 1.06667 1
0.34 1.06667 1
0.364444 1.06667 1
0.388889 1.06667 1
0.413333 1.06667 1
0.437778 1.06667 1
0.462222 1.06667 1
0.486667 1.06667 1
0.511111 1.06667 1
0.535556 1.06667 1
0.56 1.06667 1
0.584444 1.06667 1
0.608889 1.06667 1
0.633333 1.06667 1
0.657778 1.06667 1
0.682222 1.06667 1
0.706667 1.06667 1
0.731111 1.06667 1
0.755556 1.06667 1
0.78 1.06667 1
0.804444 1.06667 1
0.828889 1.06667 1
0.853333 1.06667 1
0.877778 1.06667 1
0.902222 1.06667 1
0.926667 1.06667 1
0.951111 1.06667 1
0.975556 1.06667 1
1 1.06667 1
0.3 1.2 1
0.323333 1.2 1
0.346667 1.2 1
0.37 1.2 1
0.393333 1.2 1
0.416667 1.2 1
0.44 1.2 1
0.463333 1.2 1
0.486667 1.2 1
0.51 1.2 1
0.533333 1.2 1
0.556667 1.2 1
0.58 1.2 1
0.603333 1.2 1
0.626667 1.2 1
0.65 1.2 1
0.673333 1.2 1
0.696667 1.2 1
0.72 1.2 1
0.743333 1.2 1
0.766667 1.2 1
0.79 1.2 1
0.813333 1.2 1
0.836667 1.2 1
0.86 1.2 1
0.883333 1.2 1
0.906667 1.2 1
0.93 1.2 1
0.953333 1.2 1
0.976667 1.2 1
1 1.2 1
0.333333 1.33333 1
0.355556 1.33333 1
0.377778 1.33333 1
0.4 1.33333 1
0.422222 1.33333 1
0.444444 1.33333 1
0.466667 1.33333 1
0.488889 1.33333 1
0.511111 1.33333 1
0.533333 1.33333 1
0.555556 1.33333 1
0.577778 1.33333 1
0.6 1.33333 1
0.622222 1.33333 1
0.644444 1.33333 1
0.666667 1.33333 1
0.688889 1.33333 1
0.711111 1.33333 1
0.733333 1.33333 1
0.755556 1.33333 1
0.777778 1.33333 1
0.8 1.33333 1
0.822222 1.33333 1
0.844444 1.33333 1
0.866667 1.33333 1
0.888889 1.33333 1
0.911111 1.33333 1
0.933333 1.33333 1
0.955556 1.33333 1
0.977778 1.33333 1
1 1.33333 1
0.366667 1.46667 1
0.387778 1.46667 1
0.408889 1.46667 1
0.43 1.46667 1
0.451111 1.46667 1
0.472222 1.46667 1
0.493333 1.46667 1
0.514444 1.46667 1
0.535556 1.46667 1
0.556667 1.46667 1
0.577778 1.46667 1
0.598889 1.46667 1
0.62 1.46667 1
0.641111 1.46667 1
0.662222 1.46667 1
0.683333 1.46667 1
0.704444 1.46667 1
0.725556 1.46667 1
0.746667 1.46667 1
0.767778 1.46667 1
0.788889 1.46667 1
0.81 1.46667 1
0.831111 1.46667 1
0.852222 1.46667 1
0.873333 1.46667 1
0.894444 1.46667 1
0.915556 1.46667 1
0.936667 1.46667 1
0.957778 1.46667 1
0.978889 1.46667 1
1 1.46667 1
0.4 1.6 1
0.42 1.6 1
0.44 1.6 1
0.46 1.6 1
0.48 1.6 1
0.5 1.6 1
0.52 1.6 1
0.54 1.6 1
0.56 1.6 1
0.58 1.6 1
0.6 1.6 1
0.62 1.6 1
0.64 1.6 1
0.66 1.6 1
0.68 1.6 1
0.7 1.6 1
0.72 1.6 1
0.74 1.6 1
0.76 1.6 1
0.78 1.6 1
0.8 1.6 1
0.82 1.6 1
0.84 1.6 1
0.86 1.6 1
0.88 1.6 1
0.9 1.6 1
0.92 1.6 1
0.94 1.6 1
0.96 1.6 1
0.98 1.6 1
1 1.6 1
0.433333 1.73333 1
0.452222 1.73333 1
0.471111 1.73333 1
0.49 1.73333 1
0.508889 1.73333 1
0.527778 1.73333 1
0.546667 1.73333 1
0.565556 1.73333 1
0.584444 1.73333 1
0.603333 1.73333 1
0.622222 1.73333 1
0.641111 1.73333 1
0.66 1.73333 1
0.678889 1.73333 1
0.697778 1.73333 1
0.716667 1.73333 1
0.735556 1.73333 1
0.754444 1.73333 1
0.773333 1.73333 1
0.792222 1.73333 1
0.811111 1.73333 1
0.83 1.73333 1
0.848889 1.73333 1
0.867778 1.73333 1
0.886667 1.73333 1
0.905556 1.73333 1
0.924444 1.73333 1
0.943333 1.73333 1
0.962222 1.73333 1
0.981111 1.73333 1
1 1.73333 1
0.466667 1.86667 1
0.484444 1.86667 1
0.502222 1.86667 1
0.52 1.86667 1
0.537778 1.86667 1
0.555556 1.86667 1
0.573333 1.86667 1
0.591111 1.86667 1
0.608889 1.86667 1
0.626667 1.86667 1
0.644444 1.86667 1
0.662222 1.86667 1
0.68 1.86667 1
0.697778 1.86667 1
0.715556 1.86667 1
0.733333 1.86667 1
0.751111 1.86667 1
0.768889 1.86667 1
0.786667 1.86667 1
0.804444 1.86667 1
0.822222 1.86667 1
0.84 1.86667 1
0.857778 1.86667 1
0.875556 1.86667 1
0.893333 1.86667 1
0.911111 1.86667 1
0.928889 1.86667 1
0.946667 1.86667 1
0.964444 1.86667 1
0.982222 1.86667 1
1 1.86667 1
0.5 2 1
0.516667 2 1
0.533333 2 1
0.55 2 1
0.566667 2 1
0.583333 2 1
0.6 2 1
0.616667 2 1
0.633333 2 1
0.65 2 1
0.666667 2 1
0.683333 2 1
0.7 2 1
0.716667 2 1
0.733333 2 1
0.75 2 1
0.766667 2 1
0.783333 2 1
0.8 2 1
0.816667 2 1
0.833333 2 1
0.85 2 1
0.866667 2 1
0.883333 2 1
0.9 2 1
0.916667 2 1
0.933333 2 1
0.95 2 1
0.966667 2 1
0.983333 2 1
1 2 1
0.533333 2.13333 1
0.548889 2.13333 1
0.564444 2.13333 1
0.58 2.13333 1
0.595556 2.13333 1
0.611111 2.13333 1
0.626667 2.13333 1
0.642222 2.13333 1
0.657778 2.13333 1
0.673333 2.13333 1
0.688889 2.13333 1
0.704444 2.13333 1
0.72 2.13333 1
0.735556 2.13333 1
0.751111 2.13333 1
0.766667 2.13333 1
0.782222 2.13333 1
0.797778 2.13333 1
0.813333 2.13333 1
0.828889 2.13333 1
0.844444 2.13333 1
0.86 2.13333 1
0.875556 2.13333 1
0.891111 2.13333 1
0.906667 2.13333 1
0.922222 2.13333 1
0.937778 2.13333 1
0.953333 2.13333 1
0.968889 2.13333 1
0.984444 2.13333 1
1 2.13333 1
0.566667 2.26667 1
0.581111 2.26667 1
0.595556 2.26667 1
0.61 2.26667 1
0.624444 2.26667 1
0.638889 2.26667 1
0.653333 2.26667 1
0.667778 2.26667 1
0.682222 2.26667 1
0.696667 2.26667 1
0.711111 2.26667 1
0.725556 2.26667 1
0.74 2.26667 1
0.754444 2.26667 1
0.768889 2.26667 1
0.783333 2.26667 1
0.797778 2.26667 1
0.812222 2.26667 1
0.826667 2.26667 1
0.841111 2.26667 1
0.855556 2.26667 1
0.87 2.26667 1
0.884444 2.26667 1
0.898889 2.26667 1
0.913333 2.26667 1
0.927778 2.26667 1
0.942222 2.26667 1
0.956667 2.26667 1
0.971111 2.26667 1
0.985556 2.26667 1
1 2.26667 1
0.6 2.4 1
0.613333 2.4 1
0.626667 2.4 1
0.64 2.4 1
0.653333 2.4 1
0.666667 2.4 1
0.68 2.4 1
0.693333 2.4 1
0.706667 2.4 1
0.72 2.4 1
0.733333 2.4 1
0.746667 2.4 1
0.76 2.4 1
0.773333 2.4 1
0.786667 2.4 1
0.8 2.4 1
0.813333 2.4 1
0.826667 2.4 1
0.84 2.4 1
0.853333 2.4 1
0.866667 2.4 1
0.88 2.4 1
0.893333 2.4 1
0.906667 2.4 1
0.92 2.4 1
0.933333 2.4 1
0.946667 2.4 1
0.96 2.4 1
0.973333 2.4 1
0.986667 2.4 1
1 2.4 1
0.633333 2.53333 1
0.645556 2.53333 1
0.657778 2.53333 1
0.67 2.53333 1
0.682222 2.53333 1
0.694444 2.53333 1
0.706667 2.53333 1
0.718889 2.53333 1
0.731111 2.53333 1
0.743333 2.53333 1
0.755556 2.53333 1
0.767778 2.53333 1
0.78 2.53333 1
0.792222 2.53333 1
0.804444 2.53333 1
0.816667 2.53333 1
0.828889 2.53333 1
0.841111 2.53333 1
0.853333 2.53333 1
0.865556 2.53333 1
0.877778 2.53333 1
0.89 2.53333 1
0.902222 2.53333 1
0.914444 2.53333 1
0.926667 2.53333 1
0.938889 2.53333 1
0.951111 2.53333 1
0.963333 2.53333 1
0.975556 2.53333 1
0.987778 2.53333 1
1 2.53333 1
0.666667 2.66667 1
0.677778 2.66667 1
0.688889 2.66667 1
0.7 2.66667 1
0.711111 2.66667 1
0.722222 2.66667 1
0.733333 2.66667 1
0.744444 2.66667 1
0.755556 2.66667 1
0.766667 2.66667 1
0.777778 2.66667 1
0.788889 2.66667 1
0.8 2.66667 1
0.811111 2.66667 1
0.822222 2.66667 1
0.833333 2.66667 1
0.844444 2.66667 1
0.855556 2.66667 1
0.866667 2.66667 1
0.877778 2.66667 1
0.888889 2.66667 1
0.9 2.66667 1
0.911111 2.66667 1
0.922222 2.66667 1
0.933333 2.66667 1
0.944444 2.66667 1
0.955556 2.66667 1
0.966667 2.66667 1
0.977778 2.66667 1
0.988889 2.66667 1
1 2.66667 1
0.7 2.8 1
0.71 2.8 1
0.72 2.8 1
0.73 2.8 1
0.74 2.8 1
0.75 2.8 1
0.76 2.8 1
0.77 2.8 1
0.78 2.8 1
0.79 2.8 1
0.8 2.8 1
0.81 2.8 1
0.82 2.8 1
0.83 2.8 1
0.84 2.8 1
0.85 2.8 1
0.86 2.8 1
0.87 2.8 1
0.88 2.8 1
0.89 2.8 1
0.9 2.8 1
0.91 2.8 1
0.92 2.8 1
0.93 2.8 1
0.94 2.8 1
0.95 2.8 1
0.96 2.8 1
0.97 2.8 1
0.98 2.8 1
0.99 2.8 1
1 2.8 1
0.733333 2.93333 1
0.742222 2.93333 1
0.751111 2.93333 1
0.76 2.93333 1
0.768889 2.93333 1
0.777778 2.93333 1
0.786667 2.93333 1
0.795556 2.93333 1
0.804444 2.93333 1
0.813333 2.93333 1
0.822222 2.93333 1
0.831111 2.93333 1
0.84 2.93333 1
0.848889 2.93333 1
0.857778 2.93333 1
0.866667 2.93333 1
0.875556 2.93333 1
0.884444 2.93333 1
0.893333 2.93333 1
0.902222 2.93333 1
0.911111 2.93333 1
0.92 2.93333 1
0.928889 2.93333 1
0.937778 2.93333 1
0.946667 2.93333 1
0.955556 2.93333 1
0.964444 2.93333 1
0.973333 2.93333 1
0.982222 2.93333 1
0.991111 2.93333 1
1 2.93333 1
0.766667 3.06667 1
0.774444 3.06667 1
0.782222 3.06667 1
0.79 3.06667 1
0.797778 3.06667 1
0.805556 3.06667 1
0.813333 3.06667 1
0.821111 3.06667 1
0.828889 3.06667 1
0.836667 3.06667 1
0.844444 3.06667 1
0.852222 3.06667 1
0.86 3.06667 1
0.867778 3.06667 1
0.875556 3.06667 1
0.883333 3.06667 1
0.891111 3.06667 1
0.898889 3.06667 1
0.906667 3.06667 1
0.914444 3.06667 1
0.922222 3.06667 1
0.93 3.06667 1
0.937778 3.06667 1
0.945556 3.06667 1
0.953333 3.06667 1
0.961111 3.06667 1
0.968889 3.06667 1
0.976667 3.06667 1
0.984444 3.06667 1
0.992222 3.06667 1
1 3.06667 1
0.8 3.2 1
0.806667 3.2 1
0.813333 3.2 1
0.82 3.2 1
0.826667 3.2 1
0.833333 3.2 1
0.84 3.2 1
0.846667 3.2 1
0.853333 3.2 1
0.86 3.2 1
0.866667 3.2 1
0.873333 3.2 1
0.88 3.2 1
0.886667 3.2 1
0.893333 3.2 1
0.9 3.2 1
0.906667 3.2 1
0.913333 3.2 1
0.92 3.2 1
0.926667 3.2 1
0.933333 3.2 1
0.94 3.2 1
0.946667 3.2 1
0.953333 3.2 1
0.96 3.2 1
0.966667 3.2 1
0.973333 3.2 1
0.98 3.2 1
0.986667 3.2 1
0.993333 3.2 1
1 3.2 1
0.833333 3.33333 1
0.838889 3.33333 1
0.844444 3.33333 1
0.85 3.33333 1
0.855556 3.33333 1
0.861111 3.33333 1
0.866667 3.33333 1
0.872222 3.33333 1
0.877778 3.33333 1
0.883333 3.33333 1
0.888889 3.33333 1
0.894444 3.33333 1
0.9 3.33333 1
0.905556 3.33333 1
0.911111 3.33333 1
0.916667 3.33333 1
0.922222 3.33333 1
0.927778 3.33333 1
0.933333 3.33333 1
0.938889 3.33333 1
0.944444 3.33333 1
0.95 3.33333 1
0.955556 3.33333 1
0.961111 3.33333 1
0.966667 3.33333 1
0.972222 3.33333 1
0.977778 3.33333 1
0.983333 3.33333 1
0.988889 3.33333 1
0.994444 3.33333 1
1 3.33333 1
0.866667 3.46667 1
0.871111 3.46667 1
0.875556 3.46667 1
0.88 3.46667 1
0.884444 3.46667 1
0.888889 3.46667 1
0.893333 3.46667 1
0.897778 3.46667 1
0.902222 3.46667 1
0.906667 3.46667 1
0.911111 3.46667 1
0.915556 3.46667 1
0.92 3.46667 1
0.924444 3.46667 1
0.928889 3.46667 1
0.933333 3.46667 1
0.937778 3.46667 1
0.942222 3.46667 1
0.946667 3.46667 1
0.951111 3.46667 1
0.955556 3.46667 1
0.96 3.46667 1
0.964444 3.46667 1
0.968889 3.46667 1
0.973333 3.46667 1
0.977778 3.46667 1
0.982222 3.46667 1
0.986667 3.46667 1
0.991111 3.46667 1
0.995556 3.46667 1
1 3.46667 1
0.9 3.6 1
0.903333 3.6 1
0.906667 3.6 1
0.91 3.6 1
0.913333 3.6 1
0.916667 3.6 1
0.92 3.6 1
0.923333 3.6 1
0.926667 3.6 1
0.93 3.6 1
0.933333 3.6 1
0.936667 3.6 1
0.94 3.6 1
0.943333 3.6 1
0.946667 3.6 1
0.95 3.6 1
0.953333 3.6 1
0.956667 3.6 1
0.96 3.6 1
0.963333 3.6 1
0.966667 3.6 1
0.97 3.6 1
0.973333 3.6 1
0.976667 3.6 1
0.98 3.6 1
0.983333 3.6 1
0.986667 3.6 1
0.99 3.6 1
0.993333 3.6 1
0.996667 3.6 1
1 3.6 1
0.933333 3.73333 1
0.935556 3.73333 1
0.937778 3.73333 1
0.94 3.73333 1
0.942222 3.73333 1
0.944444 3.73333 1
0.946667 3.73333 1
0.948889 3.73333 1
0.951111 3.73333 1
0.953333 3.73333 1
0.955556 3.73333 1
0.957778 3.73333 1
0.96 3.73333 1
0.962222 3.73333 1
0.964444 3.73333 1
0.966667 3.73333 1
0.968889 3.73333 1
0.971111 3.73333 1
0.973333 3.73333 1
0.975556 3.73333 1
0.977778 3.73333 1
0.98 3.73333 1
0.982222 3.73333 1
0.984444 3.73333 1
0.986667 3.73333 1
0.988889 3.73333 1
0.991111 3.73333 1
0.993333 3.73333 1
0.995556 3.73333 1
0.997778 3.73333 1
1 3.73333 1
0.966667 3.86667 1
0.967778 3.86667 1
0.968889 3.86667 1
0.97 3.86667 1
0.971111 3.86667 1
0.972222 3.86667 1
0.973333 3.86667 1
0.974444 3.86667 1
0.975556 3.86667 1
0.976667 3.86667 1
0.977778 3.86667 1
0.978889 3.86667 1
0.98 3.86667 1
0.981111 3.86667 1
0.982222 3.86667 1
0.983333 3.86667 1
0.984444 3.86667 1
0.985556 3.86667 1
0.986667 3.86667 1
0.987778 3.86667 1
0.988889 3.86667 1
0.99 3.86667 1
0.991111 3.86667 1
0.992222 3.86667 1
0.993333 3.86667 1
0.994444 3.86667 1
0.995556 3.86667 1
0.996667 3.86667 1
0.997778 3.86667 1
0.998889 3.86667 1
1 3.86667 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
1 4 1
