# Residuals   
# Time        	p             	Ux            	Uy            	T             
0             	N/A	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.189395e-01	1.000000e+00
2             	2.187416e-01	6.711353e-02	1.106265e-01	7.073263e-01
3             	8.650441e-02	3.705752e-02	7.739023e-02	7.890819e-01
4             	9.267137e-02	3.088710e-02	6.432891e-02	8.272948e-01
5             	8.802741e-02	3.013475e-02	5.377762e-02	8.448675e-01
6             	7.293523e-02	2.917288e-02	5.003351e-02	8.546439e-01
7             	6.452069e-02	2.765414e-02	4.866947e-02	8.609558e-01
8             	6.128507e-02	2.623518e-02	4.779502e-02	8.654322e-01
9             	6.167819e-02	2.501680e-02	4.702529e-02	8.687891e-01
10            	6.660519e-02	2.429588e-02	4.619483e-02	8.715166e-01
11            	5.843282e-02	2.359412e-02	4.526990e-02	8.737225e-01
12            	5.490072e-02	2.287988e-02	4.439797e-02	8.755000e-01
13            	5.285462e-02	2.224714e-02	4.353274e-02	8.769879e-01
14            	5.325907e-02	2.166421e-02	4.281017e-02	8.782991e-01
15            	5.399638e-02	2.109975e-02	4.227826e-02	8.795119e-01
16            	5.576039e-02	2.054958e-02	4.181684e-02	8.806394e-01
17            	5.812157e-02	1.998872e-02	4.131153e-02	8.817019e-01
18            	6.072631e-02	1.948182e-02	4.074687e-02	8.827032e-01
19            	6.163734e-02	1.900205e-02	4.008515e-02	8.836712e-01
20            	6.161980e-02	1.853261e-02	3.946089e-02	8.846051e-01
21            	6.382525e-02	1.809357e-02	3.889982e-02	8.855139e-01
22            	6.335231e-02	1.764494e-02	3.839914e-02	8.864082e-01
23            	6.271892e-02	1.719260e-02	3.791700e-02	8.872854e-01
24            	6.405129e-02	1.677807e-02	3.743206e-02	8.881442e-01
25            	6.812282e-02	1.638982e-02	3.700424e-02	8.889951e-01
26            	6.678085e-02	1.606044e-02	3.658268e-02	8.898233e-01
27            	6.900369e-02	1.573590e-02	3.622463e-02	8.906336e-01
28            	7.091071e-02	1.543251e-02	3.593579e-02	8.914269e-01
29            	7.446921e-02	1.515312e-02	3.573629e-02	8.921984e-01
30            	7.805523e-02	1.485331e-02	3.546118e-02	8.929585e-01
31            	8.074454e-02	1.457223e-02	3.519991e-02	8.936920e-01
32            	7.834470e-02	1.433360e-02	3.505341e-02	8.943942e-01
33            	7.963288e-02	1.409352e-02	3.496267e-02	8.950760e-01
34            	8.268110e-02	1.388245e-02	3.499389e-02	8.957237e-01
35            	8.480465e-02	1.367623e-02	3.511847e-02	8.963416e-01
36            	8.851548e-02	1.350655e-02	3.516610e-02	8.969277e-01
37            	9.382608e-02	1.334187e-02	3.517529e-02	8.974722e-01
38            	9.024380e-02	1.319557e-02	3.510916e-02	8.979987e-01
